campaing_id,campaing_code,valid_from,valid_to,loyalty_card,description
224,70161000000RCZ6,01-08-2016,31-08-2016,0,CARTA TALLERES 2016
225,70161000000RCZ7,01-01-2000,02-01-2000,0,APLICACION SALI DONANDO
226,70161000000RCZ8,01-09-2016,30-09-2016,0,HOJA INFORMATIVA DE PRIMAVERA 2016
227,70161000000RCZ9,01-10-2016,31-10-2016,0,MISIONEROS 2016
228,70161000000RCZA,01-11-2016,30-11-2016,0,HOJA INFORMATIVA DE VERANO 2016
229,70161000000RCZB,01-12-2016,31-12-2016,0,NAVIDAD 2016
230,70161000000RCZC,01-01-2017,31-01-2017,0,SALUDO DE AÑO NUEVO 2016
149,70161000000RCXt,01-01-2000,03-01-2000,0,HOJA INFORMATIVA INVIERNO 2012
150,70161000000RCXu,01-01-2000,04-01-2000,0,PROSPECCION JULIO 2012
151,70161000000RCXv,01-01-2000,05-01-2000,0,CARTA DE EDUCACION 2012
152,70161000000RCXw,01-01-2000,06-01-2000,0,HOJA INFORMATIVA PRIMAVERA 2012
153,70161000000RCXx,01-01-2000,07-01-2000,0,PROSPECTS CORDOBA SEPTIEMBRE 2012
154,70161000000RCXy,01-01-2000,08-01-2000,0,CARTA PUEBLOS ORIGINARIOS 2012
155,70161000000RCXz,01-08-2000,09-01-2000,0,PROSPECCION CORDOBA OCTUBRE 2012
156,70161000000RCY0,01-09-2000,10-01-2000,0,HOJA INFORMATIVA DE VERANO
157,70161000000RCY1,01-12-2012,31-12-2012,0,CARTA NAVIDAD 2012
158,70161000000RCY2,01-01-2013,31-01-2013,0,TARJETA DE NAVIDAD Y AGENDA
159,70161000000RCY3,01-02-2013,28-02-2013,0,DONACIONES DEL MES DE FEBERO 2013
160,70161000000RCY4,01-03-2013,31-03-2013,0,HOJA MEMORIA 2012
161,70161000000RCY5,01-04-2013,30-04-2013,0,PROSPECCION ABRIL 2013
162,70161000000RCY6,01-04-2013,30-04-2013,0,CARTA MISIONEROS 2013
163,70161000000RCY7,01-05-2013,31-05-2013,0,PROSPECCION MAYO 2013
164,70161000000RCY8,01-05-2013,31-05-2013,0,HOJA INFORMATIVA DE OTOÑO 2013
165,70161000000RCY9,01-06-2013,30-06-2013,0,CARTA ZAPALA JUNIO 2013
166,70161000000RCYA,01-07-2013,31-07-2013,0,HOJA INFORMATIVA DE INVIERNO 2013
167,70161000000RCYB,01-07-2013,31-07-2013,0,PROSPECCION JULIO 2013
168,70161000000RCYC,01-08-2013,31-08-2013,0,CARTA DE PEDIDO AGOSTO 2013
169,70161000000RCYD,01-09-2013,30-09-2013,0,CARTA DE PROSPECCION SEPTIEMBRE 2013
170,70161000000RCYE,01-09-2013,30-09-2013,0,HOJA INFORMATIVA 86
171,70161000000RCYF,01-10-2013,31-10-2013,0,CARTA OCTUBRE 2013
172,70161000000RCYG,01-10-2013,31-10-2013,0,CARTA DE PROSPECCION OCTUBRE 2013
173,70161000000RCYH,01-11-2013,30-11-2013,0,HOJA INFORMATIVA 87
174,70161000000RCYI,01-11-2013,30-11-2013,0,PROSPECCION NOVIEMBRE 2013
175,70161000000RCYJ,01-12-2013,31-12-2013,0,CARTA DE NAVIDAD 2013
176,70161000000RCYK,01-12-2013,31-12-2013,0,PROSPECCION DICIEMBRE 2013 I
177,70161000000RCYL,01-01-2014,31-01-2014,0,TARJETA Y AGENDA DE NAVIDAD 2013
178,70161000000RCYM,10-12-2013,31-12-2013,0,PROSPECCION DICIEMBRE 2013 II
179,70161000000RCYN,01-02-2014,28-02-2014,0,FEBRERO 2014
180,70161000000RCYO,01-03-2014,31-03-2014,0,HOJA MEMORIA 2013
181,70161000000RCYP,01-04-2014,30-04-2014,0,PROSPECCION ABRIL I 2014
182,70161000000RCYQ,01-04-2014,30-04-2014,0,CARTA DE MISIONEROS 2014
183,70161000000RCYR,01-15-2014,15-05-2014,0,PROSPECCION ABRIL 2014 II
184,70161000000RCYS,01-05-2014,31-05-2014,0,HOJA INFORMATIVA 89 OTOÑO 2014
185,70161000000RCYT,05-15-2014,14-06-2014,0,PROSPECCION MAYO 2014
186,70161000000RCYU,01-06-2014,30-06-2014,0,CARTA EDUCACION 2014
187,70161000000RCYV,01-07-2014,31-07-2014,0,HOJA INFORMATIVA DE INVIERNO 2014
188,70161000000RCYW,01-08-2014,31-08-2014,0,PROSPECCION AGOSTO 2014 I
189,70161000000RCYX,01-08-2014,31-08-2014,0,CARTA CHICOS DE LA CALLE 2014
190,70161000000RCYY,01-09-2014,30-09-2014,0,PROSPECTS SEPTIEMBRE I
191,70161000000RCYZ,01-09-2014,30-09-2014,0,HOJA INFORMATIVA DE PRIMAVERA
192,70161000000RCYa,01-10-2014,31-10-2014,0,CARTA TALLERES 2014
193,70161000000RCYb,01-10-2014,31-10-2014,0,PROSPECCION TUCUMAN OCTUBRE 2014
194,70161000000RCYc,01-11-2014,30-11-2014,0,PRSPECCION BASE DP CORREO
195,70161000000RCYd,01-11-2014,30-11-2014,0,HOJA INFORMATIVA VERANO 2014
196,70161000000RCYe,01-12-2014,31-12-2014,0,CARTA DE NAVIDAD
197,70161000000RCYf,01-11-2014,30-11-2014,0,PROSPECCION NOVIEMBRE I
198,70161000000RCYg,12-11-2014,19-11-2014,0,EBOLA - APOYO P JORGE CRISAFULI
98,70161000000RCX5,01-10-2000,11-01-2000,0,CARTA MISIONEROS 2010
99,70161000000RCX6,01-11-2000,12-01-2000,0,HOJA INFORMATIVA OTOÑO 2010
101,70161000000RCX7,01-12-2000,13-01-2000,0,PROSPECTS CORREO GRUPAL
102,70161000000RCX8,01-13-2000,14-01-2000,0,CARTA EDUCACION JUNIO 2010
103,70161000000RCX9,01-14-2000,15-01-2000,0,HOJA INFORMATIVA INVIERNO 2010
104,70161000000RCXA,01-15-2000,16-01-2000,0,CARTA CHICOS DE NEUQUEN
105,70161000000RCXB,01-16-2000,17-01-2000,0,HOJA INFORMATIVA PRIMAVERA 2010 (Nº71)
106,70161000000RCXC,01-17-2000,18-01-2000,0,CARTA PUEBLOS ORIGINARIOS 2010
107,70161000000RCXD,01-18-2000,19-01-2000,0,PROSPECTS NOVIEMBRE 2010
108,70161000000RCXE,01-19-2000,20-01-2000,0,HOJA INFORMATIVA VERANO 2010
109,70161000000RCXF,01-20-2000,21-01-2000,0,PROSPECCION NAVIDAD 2010
110,70161000000RCXG,01-21-2000,22-01-2000,0,CARTA NAVIDAD 2010
111,70161000000RCXH,01-22-2000,23-01-2000,0,CARTA DE REYES 2011
112,70161000000RCXI,01-23-2000,24-01-2000,0,HOJA MEMORIA 2010 FEBRERO 2011
113,70161000000RCXJ,01-24-2000,25-01-2000,0,PROSPECCION MARZO 2011
114,70161000000RCXK,01-25-2000,26-01-2000,0,DONACIONES ORDINARIAS MARZO 2011
115,70161000000RCXL,01-26-2000,27-01-2000,0,CARTA DE MISIONEROS ABRIL 2011
116,70161000000RCXM,01-27-2000,28-01-2000,0,HOJA INFORMATIVA OTOÑO 2011
117,70161000000RCXN,01-28-2000,29-01-2000,0,PROSPECTS CORDOBA 2011
118,70161000000RCXO,01-29-2000,30-01-2000,0,BASE PROSPECTS MAYO 2011
119,70161000000RCXP,01-30-2000,31-01-2000,0,PROSPECTS CORDOBA JUNIO 2011
120,70161000000RCXQ,01-31-2000,01-02-2000,0,PROSPECTS JUNIO 2011 CABA
121,70161000000RCXR,02-01-2000,02-02-2000,0,TALLERES TUCUMAN
122,70161000000RCXS,02-02-2000,03-02-2000,0,PROSPECTS CABA JULIO 2011
123,70161000000RCXT,02-03-2000,04-02-2000,0,HOJA INFORMATIVA 75 INVIERNO JULIO 2011
124,70161000000RCXU,02-04-2000,05-02-2000,0,PROSPECTS AGOSTO 2011 CORDOBA
125,70161000000RCXV,02-05-2000,06-02-2000,0,PROSPECTS AGOSTO 2011 CABA
126,70161000000RCXW,02-06-2000,07-02-2000,0,PUEBLOS ORIG. AGOSTO 2011
127,70161000000RCXX,02-07-2000,08-02-2000,0,PROSPECTS SEPTIEMBRE 2011 CORDOBA
128,70161000000RCXY,02-08-2000,09-02-2000,0,PROSPECTS SEPTIEMBRE 2011 CABA
129,70161000000RCXZ,02-09-2000,10-02-2000,0,ANTIGUA
130,70161000000RCXa,02-10-2000,11-02-2000,0,CARTA CORRIENTES OCTUBRE 2011
131,70161000000RCXb,02-11-2000,12-02-2000,0,BASE PROSPECCION CORDOBA OCTUBRE 2011
132,70161000000RCXc,02-12-2000,13-02-2000,0,BASE PROSPECCION CABA OCTUBRE 2010
